"Gene_ID","log2FC_24455","SE_24455","p_24455","padj_24455","log2FC_63183","SE_63183","p_63183","padj_63183"
2235,-1.47298515188198,0.244819425082234,1.78097823647999e-09,7.8286117176622e-08,-2.89916086258334,0.762451772981409,0.000143290308208062,0.00288316534952334
5214,2.6698110085281,0.328516857231609,4.40548156056717e-16,6.71786988191376e-14,3.77523305749251,0.746915534747661,4.31675710051214e-07,1.85498800634572e-05
5590,-0.898062105853096,0.335376600528899,0.00741136257423961,0.0391205922957171,-2.28385602430008,0.80579056802835,0.00459255144523519,0.046253948119409
2261,-1.87344092653395,0.411716439629404,5.35647772750502e-06,9.58439378517326e-05,-2.4472701165877,0.776636926493193,0.00162649979202465,0.0211634394522834
10610,-1.5733819495406,0.327724257292483,1.5792871174033e-06,3.34994380204681e-05,-3.78760334738841,0.923621307970361,4.11691372862301e-05,0.00100382094247988
6559,-7.12718219021067,0.775373678942389,3.85847694948945e-20,1.10320286780819e-17,-9.49699309203589,0.782282691663066,6.47438385751118e-34,1.8084033178005e-30
22846,2.22773950820836,0.388144775406834,9.49816642701833e-09,3.52304962282161e-07,3.48277393034003,0.79108100451869,1.06985764842752e-05,0.000314006030297668
51109,-0.917288793400602,0.295681970993514,0.00192035067122212,0.0132710656854351,-2.19431357489008,0.765985742387404,0.00417414424339114,0.0430523433044667
87,1.36289399902496,0.33945464332295,5.94579684446454e-05,0.00074793873412861,2.5595146435139,0.811318532089592,0.00160630595304894,0.0209985034845142
224,-1.25999517127589,0.266396619352583,2.24772539405011e-06,4.49676141515214e-05,-2.82208302615449,0.738954230339169,0.00013398140039456,0.00271182885170583
2213,1.5148981118531,0.379776572760348,6.63749875824966e-05,0.000820657954578544,3.46684848520702,1.19921258289871,0.00384094642278498,0.0407708061056627
2121,-1.0230286936586,0.293104093121075,0.000482432537799713,0.00428269089369693,-2.23213719947874,0.790458792921753,0.00474505605477417,0.0472253468504652
949,1.79219904676784,0.32875598506925,4.99588617944333e-08,1.53729914633812e-06,3.66378691657722,0.783226176742506,2.8994838978338e-06,0.0001003976252971
10644,-1.57922678277536,0.48211636769592,0.00105432817188942,0.00820272099263626,-3.89045628398064,1.09598168878034,0.000385603447904871,0.00652318701949585
4854,1.36634053423565,0.375545754156817,0.000274465144294134,0.00269054260020907,2.43545598378074,0.795053107232845,0.00218938270617356,0.0265114629861002
6557,-7.92967101024023,0.444102852040632,2.62003383819865e-71,1.79786721977192e-67,-10.4183126325608,0.814871276879794,1.98288087247672e-37,1.10770335139458e-33
56005,1.51123142288709,0.394821829665526,0.000129383660842071,0.00143538563009,2.12148792110996,0.739403181645143,0.00411525028314778,0.0427572718507586
38,-1.87668785172968,0.249390384325083,5.26795520030829e-14,5.43589602774669e-12,-3.2294559644334,0.804311367304208,5.94001147511881e-05,0.00139815522909433
6624,1.13063832255969,0.311604548653478,0.000285139303192029,0.00277873250901336,3.29916893746372,0.774402273851818,2.04172829838613e-05,0.00054399562086889
2329,-1.8904735221843,0.268201557402568,1.80591208977559e-12,1.42438721379771e-10,-3.12695592307807,0.789373636081181,7.45387950528772e-05,0.00169497376701651
10615,-2.67402085242063,0.490718288740846,5.05976134742356e-08,1.55347124680181e-06,-2.85872970446585,0.734787485742806,0.000100016001297875,0.00214893354583473
4162,1.97847966554118,0.357289532335382,3.06874203828751e-08,1.03143377673259e-06,2.90445825943088,0.85789944932435,0.000710367389280526,0.0107640570316025
10411,-2.15996736403534,0.269912210724297,1.21936896573782e-15,1.74318955060269e-13,-2.58189659989129,0.779912877803794,0.000931315779139795,0.013513351638618
8671,-2.17153654349855,0.304102490812389,9.27859999401489e-13,7.81223965140248e-11,-2.99998596098824,0.743184570929219,5.42167675061527e-05,0.00128882100232002
50509,2.0559866473577,0.487449587703758,2.46648622681424e-05,0.000352972439799777,3.67739753694131,1.01529836178869,0.0002923487390286,0.00518462700251885
260425,-1.03894965753257,0.26348674731156,8.04413816588579e-05,0.000962491300685411,-3.26860440167618,0.960406369198001,0.000665635855829815,0.0102062134564061
1286,-2.08500606675039,0.256924607335143,4.84806773448901e-16,7.23205234653556e-14,-2.3040748247299,0.797234373446974,0.00385138103282635,0.0408256133644129
4036,-1.33135980983593,0.50966381514445,0.00899533519146704,0.0453034789606215,-2.72809019821023,0.733575717590376,0.000200097140689509,0.00378210108176838
6561,-3.84457388336292,0.571986004062786,1.79928096226369e-11,1.15389401523864e-09,-6.40982391245459,1.09348835690609,4.57841358400038e-09,3.17064600224225e-07
22837,-1.66832209584754,0.244348845106773,8.63323580316385e-12,5.92412640813104e-10,-3.2966865340752,0.822486433218941,6.11844263922872e-05,0.00143011129973269
54437,3.05542277751193,0.504987640995261,1.44405739952064e-09,6.49778483640039e-08,6.38685531360933,0.855524944319838,8.30326440806094e-14,1.54616009127437e-11
80036,-2.16858623061534,0.287372017838426,4.47908253787495e-14,4.71138429990258e-12,-4.0542249710605,0.789380504563191,2.80710626924289e-07,1.2749131156163e-05
5019,-1.35179326097483,0.29877881493401,6.05686236650921e-06,0.000106025993772924,-2.84836641883792,0.800081124933005,0.000370717821087354,0.00634476689933682
2122,-2.28084289599631,0.296590021633744,1.46880769852477e-14,1.73775145297879e-12,-2.21886071902841,0.765761009818338,0.00376042963135204,0.0400897202238097
50507,-1.41071890548788,0.526624361578304,0.00738875313899785,0.0390763961771123,-3.49269785782574,0.805476500314184,1.44974697047557e-05,0.000406292800638798
79944,-1.50116431649597,0.29381257103217,3.23425946067992e-07,8.29663118474228e-06,-2.45902422118689,0.788201649014772,0.00180979547784855,0.0229949677128611
5744,2.88980157985161,0.698930132021302,3.55562202693438e-05,0.000482664260115207,8.43376198507338,1.16333816969496,4.17936370622651e-13,6.60773173138208e-11
22974,2.35712222241267,0.44284346992802,1.02239186613062e-07,2.98538424910141e-06,4.29332545953515,1.14682519688114,0.000181357864356755,0.00350967257361993
80307,1.76139909025701,0.447121286068236,8.16784106454446e-05,0.000973896183925354,3.38364118850709,0.801901437141963,2.44820247392525e-05,0.00063513042198937
9762,-1.70344011032805,0.308918012460078,3.50341582804559e-08,1.15026025894971e-06,-2.27189840831151,0.756337286721628,0.00266616091918644,0.0308305236955133
2160,-3.8050718168475,0.441664266724697,6.97564060176941e-18,1.36762416598119e-15,-5.75551544981537,0.848557572572342,1.1794655392047e-11,1.4751241023531e-09
6175,1.49230506861222,0.349496989455952,1.9559105402891e-05,0.000290193689242461,2.20420254195547,0.746201468309877,0.00313788357652528,0.0349652864753904
5037,-1.24574746455201,0.227742963530995,4.50108568714055e-08,1.41680963234672e-06,-2.31072036331202,0.81053022106096,0.00435991022653702,0.0444450945781837
4842,-1.52086355755619,0.50567127018525,0.00263308090012955,0.0171343775596861,-5.26304921130271,1.12714341510451,3.02125380929278e-06,0.000103969594640529
4069,2.39470773463832,0.519484431633367,4.03099814043706e-06,7.47586736207543e-05,4.08815747689764,0.906994383061191,6.56367321122207e-06,0.000203704813605316
9727,-1.44229736426709,0.273481888883006,1.33604680168164e-07,3.80095387630493e-06,-3.31044248917704,0.783621906463709,2.394287813738e-05,0.000622215034495623
1738,-1.13117644593392,0.295286782139044,0.00012774164255803,0.00142646566514761,-2.21609410104163,0.73684706881587,0.002633749101276,0.0305460215835879
23231,1.57410656541581,0.341385980618792,4.00873180480806e-06,7.4446326507694e-05,2.43142991910781,0.859435922641579,0.00466791532863988,0.0466763681340547
350,-3.36234872594926,0.569572887249339,3.56342850642453e-09,1.42995593047282e-07,-4.93622411586019,0.806857643206462,9.48535929189636e-10,7.49835548928732e-08
285,1.6686707764865,0.395769840475102,2.48381168995518e-05,0.000355081579509843,4.36710619576149,0.770605161279984,1.45223939474797e-08,9.36080000637739e-07
23428,-2.10605540967878,0.550076172027054,0.000128842121418358,0.00143538563009,-5.69760025326787,0.978495515783536,5.78639292380515e-09,3.97435077910043e-07
7301,-1.86812983629331,0.380257360406669,8.97830736968582e-07,2.00638394598125e-05,-2.4351324534105,0.796082571268105,0.00222155504242822,0.0267977188928322
825,-1.13660032180581,0.42433192753966,0.00739385503244334,0.039088315279373,-4.01209057683509,0.985052069021264,4.64167876149096e-05,0.001117670896032
6913,1.03421589012655,0.329998817725704,0.00172441576553685,0.0121500867716788,5.21153672351326,1.76950874782125,0.00322758015261529,0.0357036407773463
26227,-2.29399667672556,0.425553200136213,7.02140136331286e-08,2.1039675176879e-06,-2.37064927755349,0.743551520039647,0.00143122647097314,0.0192041028238902
54566,-1.57409471999292,0.276250526330422,1.21171601928278e-08,4.39936260545947e-07,-4.18549680288103,1.14619114459792,0.000260553834674065,0.00472578107716738
284422,-1.55626794646927,0.478983068178721,0.00115767322257106,0.00882171421797072,-2.31912003945309,0.801892721058497,0.00382727618713336,0.040673000393258
54209,3.70147320982847,0.490537950561202,4.49716805076682e-14,4.71138429990258e-12,6.18327370162238,0.917173619822704,1.56585999038771e-11,1.9016121433991e-09
6319,3.65367231147336,0.416917012896219,1.8919906292648e-18,3.99471990708155e-16,2.29541746412644,0.731666841585777,0.00170544089888255,0.0220026820818881
5064,-1.95738600930125,0.501700583320255,9.55975298938703e-05,0.00111848294992624,-2.90678288477763,0.733533410516538,7.41026306034969e-05,0.00168734509005979
91319,1.645117000111,0.485612059630611,0.000704765343642678,0.00587975658124749,3.53076383341496,1.04672106021199,0.000743091536169524,0.0111952904195033
56241,-2.91384456009037,0.562611843491,2.22913140513992e-07,5.96346966942306e-06,-2.84966123719121,0.725480991268388,8.56690020012273e-05,0.00189794416423009
3956,1.73972195543387,0.376951212790295,3.92633085869227e-06,7.32132672618108e-05,3.78376830938329,0.714253339340525,1.1738878757998e-07,5.90786393709575e-06
23464,-1.51172309259452,0.493879704484344,0.00220662776974057,0.0148218469803434,-3.11712818283901,0.920981292717691,0.000712891256308383,0.0107925425153317
55586,-4.73504572150348,0.774406054502947,9.69073147019055e-10,4.53909893163465e-08,-6.79147974982059,0.762061869827793,5.01294119324679e-19,1.90586058686136e-16
3162,1.32798691201624,0.472946718597535,0.00498657673670834,0.0285207235239242,2.49448743769657,0.761593763109194,0.00105530499508635,0.0150134604521665
23551,2.80773795436745,0.474403217335382,3.24963816156864e-09,1.31355258857303e-07,4.4923728299994,0.947214338591623,2.10867144938454e-06,7.56728582874422e-05
8542,1.82007937139271,0.432345743057022,2.55622327894438e-05,0.000363539982178578,5.26317600890824,0.934884534280155,1.80460043146215e-08,1.13114045267252e-06
5836,1.67190121899622,0.365048668310274,4.65107991908235e-06,8.45668118184814e-05,2.28589950955522,0.742663648383068,0.00208412995104396,0.0256445916663331
114088,1.93443736827438,0.524096222468503,0.000223377135408916,0.00226412688799997,3.10468057211597,0.987917123780647,0.00167424269721006,0.0216836424749176
5106,-3.52694612367992,0.490875371631587,6.72005948030742e-13,5.80038341558107e-11,-4.21747994329575,0.715999229203243,3.85398457495656e-09,2.70246558542665e-07
80344,-0.74008064136084,0.267917381292024,0.00573875387091567,0.0319248715542953,-2.07114797446832,0.7231905903255,0.00418455634138066,0.0431297538285354
958,0.990914793332409,0.319384032272815,0.00191841115692606,0.0132702997568817,2.53066904782784,0.83603395538037,0.00246999563709606,0.0291511668183752
655,-4.03381768026243,0.573268271988012,1.97090460102009e-12,1.54563969967999e-10,-9.58418316168598,1.73935065932369,3.58410801817797e-08,2.06228612528916e-06
57761,3.44563841583189,0.629809306419366,4.47697006787782e-08,1.41245832670242e-06,6.43204506450817,0.792008456157805,4.61663917440575e-16,1.17227660490706e-13
9770,1.58742654885554,0.28956335678218,4.20214039043203e-08,1.33805509787214e-06,3.42612249870122,0.884307785835307,0.000106907371721221,0.00227079929363237
113278,-2.09298085129259,0.461510246186108,5.75846326238193e-06,0.000102104844719547,-3.84683335079799,1.06035586262579,0.000285768945136176,0.00509489548035869
3055,1.48519820205646,0.403412452378536,0.00023178630275525,0.0023372778978788,3.06844384183186,0.952484402029148,0.00127514295230554,0.0173740819005598
26051,-2.03635456903483,0.377113860942031,6.67003008882185e-08,2.01185698767013e-06,-2.6732566056822,0.809352872379544,0.00095671533141049,0.0137998049887616
5355,1.50188151905942,0.303898253265947,7.73038734741765e-07,1.75940026460962e-05,2.6085338785534,0.809387320473539,0.00126922025690321,0.017307455073589
5973,-1.12110591319096,0.302993831711867,0.000215518908986725,0.00220073028789719,-3.4404690390337,0.898218918619152,0.000127974896826261,0.00261871953102724
140462,-1.17157643722719,0.314384448936203,0.000194101270069168,0.00201653734324698,-3.48679394230356,0.812120638053443,1.75923227327888e-05,0.000480962050046995
27344,-4.18534933959056,0.542592534731117,1.22304065419218e-14,1.48539910956934e-12,-3.05734351604539,0.728933863960253,2.73754938909055e-05,0.00070150749559279
7076,1.60402075957846,0.357916395453228,7.41023449716515e-06,0.000126490122187929,4.45579704746639,0.722328934432654,6.8873885599393e-10,5.60319149883605e-08
2564,1.52092028111473,0.483826613132994,0.00166927067458326,0.0118676535627741,5.11178247968726,0.924636831894442,3.23124278499921e-08,1.89344048369936e-06
2254,-4.4806186880361,0.421218476272673,1.99880125545759e-26,1.24688856499545e-23,-6.90991673520749,1.26580292937595,4.79039939051921e-08,2.66718615899373e-06
23078,-0.993697610001786,0.284371049358017,0.000475182302681976,0.00423276173177653,-2.47546742770887,0.792398100879214,0.00178398397157588,0.0228053298090314
11151,1.28448710061814,0.46446398779935,0.00568311246036151,0.0316746990528362,2.97068609932651,0.752355368388686,7.8637645722185e-05,0.0017737393064039
79153,-1.62196325497682,0.439260277425722,0.000222070918452741,0.00225255083876231,-2.82219910458918,0.80269127924094,0.000438231402602546,0.00725723327689334
1428,-2.64177285938613,0.416556826876853,2.26909289923207e-10,1.20235640729965e-08,-2.15515331669272,0.7429009585714,0.00371977655933945,0.0397574842844195
23475,-1.47049197280911,0.401332197056349,0.000248280675992684,0.00247991557301572,-5.03575875748183,0.940103289855793,8.48018379758779e-08,4.38640124270907e-06
50615,0.891509917763278,0.345917605795559,0.00995950838579951,0.0490940889798048,4.06826622721627,1.09515448603968,0.000203374504301707,0.00383391824251102
1512,-1.38578233802991,0.294023474387782,2.43893701638435e-06,4.84197006050902e-05,-2.5288760125913,0.710859371450488,0.000374413531468226,0.00638981300802037
80381,1.64881746878404,0.305090515849094,6.50419973879841e-08,1.97049971777637e-06,2.7358246916226,0.739427479867505,0.000215664947567728,0.00401592095143062
760,-1.22149605888008,0.30618609021839,6.62431267034688e-05,0.000820506020648381,-3.23994374721474,0.89448904746949,0.000292202199834405,0.00518462700251885
793,-7.53774309143486,0.60071688981292,4.08126785113616e-36,4.66760999908272e-33,-7.21156931922458,0.773514233567779,1.12963940004447e-20,5.56812550157215e-18
6422,-4.49843600013921,0.55595131698303,5.89727771430758e-16,8.70260638184486e-14,-5.92802777383352,0.954015762073782,5.17305581060105e-10,4.42322664948281e-08
54845,-2.49374323437259,0.385126407210958,9.47308648852547e-11,5.30647505993974e-09,-3.19553724444499,1.0810929258771,0.0031181924272622,0.0347689866190866
27294,-2.1816506837169,0.680088976143297,0.00133712590479096,0.00989790502554001,-3.38980604997088,0.806837887860951,2.65331377581644e-05,0.000682007447375885
10848,0.970183581185658,0.37543671636531,0.00976202400172536,0.0482963292716939,3.63546841278872,0.775464759278739,2.75732295954206e-06,9.64717650917857e-05
55723,2.84535219146126,0.51660431551175,3.63350091714552e-08,1.18166271532951e-06,4.4537907497793,1.21746988726628,0.000253958305645247,0.00461774573760594
27134,-2.42878629232083,0.562351885525013,1.56752306057551e-05,0.000239562210282163,-3.17402010194087,0.909547789474338,0.000483620396380354,0.00784607378793645
7040,1.14215157017651,0.32922430305608,0.000521971638560608,0.00459495751610378,3.10415994124322,0.8120033473483,0.000131922685726147,0.00268087779968234
6223,0.893483361801028,0.258500141751867,0.000547415010418447,0.00476695660087739,2.86739249735906,0.724611529592906,7.58510644774449e-05,0.00172014612933356
2639,-1.34254103291443,0.343318994687438,9.21140310890388e-05,0.00108512700658023,-2.24223276826509,0.737765925075199,0.00237191773000061,0.0282322224695172
199731,-2.23623606528298,0.573769444841264,9.72120436601161e-05,0.00113384010782803,-2.6433177269663,0.817496506090414,0.00122313307368329,0.0167882777902197
50617,-5.45369549281442,0.577889089244166,3.82617301559605e-21,1.25024758252477e-18,-8.12492180242737,0.889270249612946,6.44364197908568e-20,2.73351483833666e-17
858,2.23905212677679,0.222425791351627,7.76835399833745e-24,3.67630656114425e-21,2.18827427073145,0.738117246330498,0.00303007488981702,0.0340355395968119
857,2.45163162059431,0.360221951589957,1.00425182334029e-11,6.82294654629811e-10,3.35617157772541,0.864422649389372,0.000103363102826066,0.00220670349077966
4521,1.27319522642249,0.304896768104748,2.96909385780994e-05,0.000414525372376232,2.9160721880878,0.764219035289442,0.000135767464764839,0.00274135776143847
5919,1.18770880826599,0.438988669506759,0.00681899723954591,0.0364849583296406,2.54854572036383,0.741803326435225,0.000591224941826418,0.00930360450710698
259,-3.33962914987789,0.648262348905642,2.58186696099308e-07,6.77922302131459e-06,-5.74601519557168,1.06960101441138,7.78202505682141e-08,4.08848327704433e-06
7306,-3.52043849458052,0.445572205047907,2.76811688450003e-15,3.65284962719985e-13,-9.97295590925926,1.91644789117958,1.95174963405232e-07,9.26611108132659e-06
6456,-5.13597771674479,0.645276683086016,1.72956762574308e-15,2.39763495916142e-13,-7.92223210927889,1.33157406978488,2.68923134014515e-09,1.93428446478509e-07
5730,-3.27522891832165,0.481922826442496,1.07437825874358e-11,7.22782707009651e-10,-4.81289123333282,1.06493569967367,6.20094012981507e-06,0.000193883499320095
9124,1.35069631109699,0.414014513745599,0.00110458681233082,0.00851648843394842,2.4987192474483,0.765547646661272,0.00109865484632402,0.0154855816396503
2625,-3.24750157397505,0.39785986256195,3.28362519120164e-16,5.3648181100061e-14,-3.29673409745739,0.825357084330548,6.48822496938167e-05,0.00150604102855772
5264,-1.32692959254887,0.299416679075753,9.34862358973854e-06,0.000154207343924966,-2.77390219320187,0.822321143938012,0.000742840449770934,0.0111952904195033
8029,-1.76194402362019,0.46375314290307,0.000145096889820036,0.00158165982199379,-3.31556081466261,0.80983354987822,4.23763328686909e-05,0.00102776405578349
219699,1.49752358353684,0.379570394008281,7.96961808570965e-05,0.00095774990024763,3.64283493920173,0.742405068232612,9.25732335810261e-07,3.65904439052928e-05
9806,-1.05903066556405,0.369039939258723,0.00410872842867392,0.0244846673708732,-2.35228720114481,0.737266901461025,0.00142002074832881,0.0190843045078128
114815,-1.77471280286226,0.41543835056065,1.93810907589637e-05,0.000288488166568349,-8.1735669184266,1.43740557911763,1.29796114961387e-08,8.4312135296042e-07
6158,0.809460022594012,0.262076818806883,0.0020107731320048,0.013789765035104,2.59316525351288,0.710831218404194,0.000264213015207127,0.00477149345027613
