"Gene_ID","Gene_Symbol","logFC_24455","p_24455","padj_24455","logFC_63183","p_63183","padj_63183","meta_log2FC","meta_pvalue","meta_padj"
1292,"COL6A2",1.07914366648682,0.00904956450948483,0.0454783389322887,2.36462891885096,0.00386431314199438,0.0409368040118103,1.07914366648682,0.00904956450948511,0.0450925013534558
1295,"COL8A1",1.59325330350416,0.00041131213013322,0.00375572034194837,4.08712244211045,1.22181685667209e-07,6.11236677640824e-06,1.59325330350416,0.000411312130133221,0.00372196070509142
1298,"COL9A2",-3.07619417936148,6.12023178622784e-13,5.34994019326057e-11,-3.1291767185595,0.00059007495447201,0.00929423511465832,-3.07619417936148,6.1202317862274e-13,5.25599268622319e-11
1301,"COL11A1",-1.85849949079805,9.68116259681241e-06,0.0001581717565222,5.78853516562237,7.68497917148234e-05,0.00174044008020098,-1.85849949079805,9.68116259681209e-06,0.000156324688973434
1306,"COL15A1",1.23646727305825,0.00463363322033833,0.0269457552186116,3.39225931835648,3.48441989630146e-05,0.00086897906312672,1.23646727305825,0.00463363322033827,0.0267331094179807
1356,"CP",4.94377180546724,2.41030855258896e-07,6.39827361232706e-06,7.107775055219,2.35386009086701e-12,3.34307976803731e-10,4.94377180546724,2.41030855258889e-07,6.32260510010818e-06
1393,"CRHBP",-4.18812685050555,2.57056218307294e-12,1.93837337365346e-10,-4.27437519112315,2.01432463230904e-05,0.00053926623822471,-4.18812685050555,2.57056218307296e-12,1.90433461067982e-10
1404,"HAPLN1",1.35305936485876,0.00220153491840184,0.0148034616463238,8.63365504903763,5.30942637155083e-10,4.51678561222438e-08,1.35305936485876,0.00220153491840189,0.0146801658282951
1428,"CRYM",-2.64177285938613,2.26909289923207e-10,1.20235640729965e-08,-2.15515331669272,0.00371977655933945,0.0397574842844195,-2.64177285938613,2.26909289923201e-10,1.18582091319167e-08
1462,"VCAN",1.41720446739137,0.00079766608842174,0.0065084241364447,5.07741556860487,2.98156236859164e-07,1.34322590686095e-05,1.41720446739137,0.000797666088421777,0.00645166878835682
1464,"CSPG4",2.14851554877367,8.15328157061848e-11,4.62378662294083e-09,2.92387841507194,9.16908750539927e-05,0.00200091130893209,2.14851554877367,8.15328157061872e-11,4.56143964384449e-09
1468,"SLC25A10",-1.72418856290796,0.00307984658625248,0.0193711340741196,-2.9610131865138,0.00084213944629654,0.0124787046688628,-1.72418856290796,0.00307984658625249,0.0192070173554312
1475,"CSTA",2.60620359400722,2.91128893990165e-09,1.19624339554522e-07,4.19485594080313,7.40957352437561e-05,0.00168734509005979,2.60620359400722,2.91128893990154e-09,1.1787660293301e-07
1491,"CTH",-2.12230881844118,5.74415607310209e-12,4.08460092990949e-10,-2.97769974217556,0.00177343414475691,0.0226877731541841,-2.12230881844118,5.74415607310156e-12,4.01287338516209e-10
1512,"CTSH",-1.38578233802991,2.43893701638435e-06,4.84197006050902e-05,-2.5288760125913,0.00037441353146822,0.00638981300802037,-1.38578233802991,2.43893701638439e-06,4.7845993957154e-05
1515,"CTSV",-2.10912107079415,1.29818157774636e-05,0.00020329437478469,-5.30386815381803,1.70215119212558e-08,1.08465216079211e-06,-2.10912107079415,1.29818157774641e-05,0.000201100256828801
1521,"CTSW",1.88702307551693,0.00049016796437551,0.00434004202779967,3.11489084418495,0.00073992180745319,0.0111714861000973,1.88702307551693,0.000490167964375507,0.00430549489490226
1524,"CX3CR1",1.18873773723383,0.00695767792088406,0.0371485835774105,3.15537219456148,0.00113398125032159,0.0159566681562884,1.18873773723383,0.00695767792088387,0.036825676820097
1536,"CYBB",0.80570899441045,0.00132962138256742,0.00985298264274039,2.48308242696971,0.00426686482845897,0.0437529935781843,0.80570899441045,0.00132962138256744,0.00976431650389807
1576,"CYP3A4",-2.03379696314782,1.86118151718514e-06,3.84681553341098e-05,-4.51470732684931,5.6609360976702e-05,0.00133622011353317,-2.03379696314782,1.86118151718513e-06,3.80216824184956e-05
1579,"CYP4A11",-4.31412491880816,1.73560948634451e-11,1.12356153729208e-09,-7.77203891090331,3.17460859903845e-21,1.66260204722767e-18,-4.31412491880816,1.73560948634443e-11,1.10383125964066e-09
1594,"CYP27B1",-3.85694699680023,1.94255427857128e-10,1.04139120777782e-08,-6.29408430848138,2.15904945644519e-11,2.51274373892812e-09,-3.85694699680023,1.94255427857124e-10,1.02711605246965e-08
1602,"DACH1",-2.56455576194719,8.62633438674121e-19,1.90948085683284e-16,-3.13947901653148,0.00088304597106403,0.0129929476989133,-2.56455576194719,8.62633438674135e-19,1.87594946026506e-16
1610,"DAO",-4.85413693931914,2.17473845780313e-14,2.48717588290751e-12,-4.9772885363881,6.35543807335078e-09,4.29478978513249e-07,-4.85413693931914,2.17473845780301e-14,2.4434998855465e-12
1629,"DBT",-0.660033550111197,0.00171107632604642,0.0120796355445787,-3.27699467280661,8.061871860273e-05,0.00181354242290356,-0.660033550111197,0.00171107632604644,0.0119722065926747
1643,"DDB2",1.67031952858966,1.87350549462003e-09,8.16253632005247e-08,2.54443397526236,0.00100506901520881,0.0144335489510578,1.67031952858966,1.87350549462001e-09,8.04473712865018e-08
1644,"DDC",-3.74401199499725,2.74111684102237e-09,1.15395974006721e-07,-2.60500277994231,0.00025102035348527,0.00458262538568591,-3.74401199499725,2.74111684102224e-09,1.13718394976932e-07
1672,"DEFB1",-2.89877278670719,6.0826725853676e-07,1.43187990671672e-05,-2.93622679582403,0.00018252035305448,0.00352809526740493,-2.89877278670719,6.08267258536749e-07,1.41401162876741e-05
1733,"DIO1",-5.18117607666833,3.99851480698769e-10,2.00275975222989e-08,-8.19101141762695,1.74338520093672e-17,5.61872934278817e-15,-5.18117607666833,3.99851480698769e-10,1.97479762427161e-08
1738,"DLD",-1.13117644593392,0.00012774164255803,0.00142646566514761,-2.21609410104163,0.002633749101276,0.0305460215835879,-1.13117644593392,0.000127741642558032,0.00141175456279503
1757,"SARDH",-2.65485226654085,3.10380131310414e-10,1.60137478274591e-08,-2.35997357629774,0.00180237124699261,0.0229528417388671,-2.65485226654085,3.1038013131038e-10,1.57919068319164e-08
1773,"DNASE1",-1.68177233008581,5.55204880085083e-12,3.98933600748046e-10,-4.52432037533839,4.54580572665302e-07,1.92868754868298e-05,-1.68177233008581,5.55204880085117e-12,3.91928136030766e-10
1776,"DNASE1L3",-2.16573791298686,2.77006109880883e-09,1.16257854801383e-07,-2.9847639709425,0.00015318729019768,0.00304539240382316,-2.16573791298686,2.77006109880907e-09,1.14566668083566e-07
1794,"DOCK2",1.64112159561066,8.15161437347101e-06,0.0001367637599774,3.39183576313008,0.00040770988238982,0.00680819289411894,1.64112159561066,8.15161437347138e-06,0.000135188458299526
1800,"DPEP1",-4.61541432359371,1.9679708289685e-07,5.36946951426713e-06,-7.32773012056854,1.54689640690251e-20,7.20123246757755e-18,-4.61541432359371,1.96797082896857e-07,5.29623766207251e-06
1804,"DPP6",-1.92760432751936,2.54258491385547e-05,0.0003619754705161,-5.39442306551475,3.29401513285148e-05,0.00082641316783619,-1.92760432751936,2.5425849138555e-05,0.000358220192199726
1852,"DUSP9",-7.74353107754144,2.0570448415622e-47,3.52886042569995e-44,-5.01375131185894,1.30774112946552e-09,9.96201526759668e-08,-7.74353107754144,2.0570448415623e-47,3.46689194984807e-44
1890,"TYMP",1.69844029493375,7.62596518028416e-06,0.00012920832856076,2.91243174164618,8.35478610838882e-05,0.00186193963285224,1.69844029493375,7.62596518028438e-06,0.00012772781183326
1892,"ECHS1",-1.87150148342612,2.38274556792444e-12,1.81671112078861e-10,-2.36835013377955,0.00201216298837192,0.0249053467667097,-1.87150148342612,2.3827455679242e-12,1.784808805129e-10
1950,"EGF",-4.17936130810008,7.46602930689592e-15,9.31488965525815e-13,-6.70039808969136,7.70440808577709e-15,1.63440727986757e-12,-4.17936130810008,7.46602930689555e-15,9.15131574044298e-13
2016,"EMX1",-2.4473904028466,7.74000861667305e-09,2.95066328486725e-07,-3.26701459853503,0.00012797143546659,0.00261871953102724,-2.4473904028466,7.74000861667337e-09,2.90692301333167e-07
2026,"ENO2",3.99152973161532,1.55020529659132e-14,1.8183775632837e-12,5.44036065365596,5.36904802551447e-11,5.73120228405077e-09,3.99152973161532,1.55020529659115e-14,1.7864459840973e-12
2042,"EPHA3",1.60480090212151,7.88370077808313e-05,0.00095075491633051,3.60107069748478,0.00178789576785536,0.0228242724219411,1.60480090212151,7.8837007780832e-05,0.000939840297001731
2052,"EPHX1",-1.71021629618276,0.00022494543802794,0.00227666017071937,-2.63407688584456,0.0019735937817859,0.0245366900511498,-1.71021629618276,0.000224945438027945,0.00225497348768088
2066,"ERBB4",-3.47962683439454,4.8272929707513e-16,7.23205234653556e-14,-6.83501976770127,5.77111535318252e-10,4.78813477865733e-08,-3.47962683439454,4.82729297075102e-16,7.10505405044721e-14
2103,"ESRRB",-3.99255545092073,2.34994519226516e-30,2.15004318790981e-27,-5.29323550981883,6.09676305907827e-07,2.52268055471571e-05,-3.99255545092073,2.34994519226531e-30,2.11228740182088e-27
2104,"ESRRG",-1.8597433695614,1.46721400925904e-06,3.13157777030654e-05,-3.34240179817202,3.673696565247e-05,0.00091076154936352,-1.8597433695614,1.46721400925909e-06,3.0910072635688e-05
2121,"EVC",-1.0230286936586,0.00048243253779971,0.00428269089369693,-2.23213719947874,0.00474505605477417,0.0472253468504652,-1.0230286936586,0.000482432537799717,0.00424870770234913
2122,"MECOM",-2.28084289599631,1.46880769852477e-14,1.73775145297879e-12,-2.21886071902841,0.00376042963135204,0.0400897202238097,-2.28084289599631,1.46880769852483e-14,1.70723570682847e-12
2160,"F11",-3.8050718168475,6.97564060176941e-18,1.36762416598119e-15,-5.75551544981537,1.1794655392047e-11,1.4751241023531e-09,-3.8050718168475,6.97564060176995e-18,1.34360803190949e-15
2168,"FABP1",-5.84460739606979,4.29658676308423e-15,5.5108744613615e-13,-7.88047714705092,1.17503324482314e-24,1.036441165789e-21,-5.84460739606979,4.29658676308426e-15,5.41410087165095e-13
2171,"FABP5",2.00604999218048,0.00044018279848297,0.00397438731998707,3.65929873147479,1.6789134697436e-06,6.1703751840862e-05,2.00604999218048,0.000440182798482963,0.00393827781814585
2180,"ACSL1",-1.01649200567683,0.00411868676912261,0.0245135648969309,-2.54089177127473,0.00048641464637277,0.00787615754450363,-1.01649200567683,0.00411868676912247,0.0243150687494944
2200,"FBN1",1.06095073762332,0.00138624822738099,0.0101901414813478,3.29503806895466,0.00011158206083822,0.00235516846043799,1.06095073762332,0.00138624822738106,0.01009773428127
2203,"FBP1",-5.41368107639691,9.3380598429767e-13,7.81436178567148e-11,-4.48549167754265,6.7418958617152e-10,5.51158208519439e-08,-5.41368107639691,9.33805984297718e-13,7.67713785749154e-11
2207,"FCER1G",1.13913495577694,0.00442223613662562,0.0259251468342803,3.18636833102638,0.00019036198785821,0.00364603034801811,1.13913495577694,0.00442223613662556,0.0257226099353418
2209,"FCGR1A",2.08700980502089,2.65549811574101e-07,6.90228335992985e-06,4.58480699957371,2.52587152962082e-08,1.52819786876951e-06,2.08700980502089,2.65549811574091e-07,6.81982497038755e-06
