"Gene_ID","Gene_Symbol","meta_log2FC","meta_SE","meta_pvalue","meta_padj","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue"
112,"ADCY6",0.321487799571661,0.266578316387228,0.227825662683306,0.442746239544395,-0.20099609960663,0.843971698749951,0,0,0,1
115,"ADCY9",-0.533321876436999,0.282082312789249,0.0586696832746737,0.179374906937058,-1.08619305017969,0.0195492973056912,0,0,0,1
116,"ADCYAP1",0.253419024594475,0.545851928936932,0.64245910559824,0.807262914932223,-0.816431097013629,1.32326914620258,0,0,0,1
118,"ADD1",-0.555605950532726,0.384527232667847,0.148484111873566,0.339194416027944,-1.30926547763656,0.198053576571108,0,0,0,1
120,"ADD3",-0.535948251896003,0.249783196287361,0.0319006136694288,0.118688376510785,-1.02551432056253,-0.0463821832294764,0,0,0,1
123,"PLIN2",1.94844346343512,0.335060601646497,6.05624574018261e-09,2.31321136869355e-07,1.29173675156966,2.60515017530058,0,0,0,1
125,"ADH1B",-2.83544208248126,0.491545887893101,8.0019194247378e-09,2.98451958222783e-07,-3.7988543195005,-1.87202984546202,0,0,0,1
128,"ADH5",-0.443403180563477,0.207567449388597,0.0326640594121437,0.120858812583406,-0.850227905727968,-0.0365784553989865,0,0,0,1
130,"ADH6",-2.43140225051764,0.519231803083776,2.83132735353719e-06,5.48488314766408e-05,-3.44907788418963,-1.41372661684565,0,0,0,1
132,"ADK",-1.11359075104671,0.247102674906812,6.58773643164525e-06,0.000112433481402371,-1.59790309434757,-0.629278407745849,0,0,0,1
133,"ADM",2.48491191392563,0.432647938769925,9.27412919256552e-09,3.39790988867828e-07,1.63693753595109,3.33288629190017,0,0,0,1
134,"ADORA1",-0.634837979533646,0.392529041165763,0.105813120880066,0.271851811895186,-1.40418076310458,0.13450480403729,0,0,0,1
135,"ADORA2A",0.490650164027731,0.415013350301507,0.237105915774022,0.453589537795281,-0.322761055666528,1.30406138372199,0,0,0,1
141,"ADPRH",0.964029506042628,0.326914111075345,0.00318930872519686,0.0197616955615024,0.323289622297025,1.60476938978823,0,0,0,1
142,"PARP1",-0.0429155361943153,0.205514400494939,0.834588685280692,0.917469159693402,-0.445716359468736,0.359885287080106,0,0,0,1
143,"PARP4",-0.0307105416334282,0.250613004002732,0.902470029063528,0.953680022091351,-0.521903003536175,0.460481920269319,0,0,0,1
150,"ADRA2A",-0.776668451001102,0.665405193683599,0.24312505476985,0.46020709159931,-2.08083866574685,0.527501763744651,0,0,0,1
151,"ADRA2B",0.091972729023201,0.419983466566107,0.826656818020521,0.913816010278813,-0.731179739548651,0.915125197595053,0,0,0,1
153,"ADRB1",-2.4586252494163,0.55919689946882,1.09905248687552e-05,0.000173652501183532,-3.55463103264165,-1.36261946619095,0,0,0,1
154,"ADRB2",0.288995140399262,0.437609140546762,0.509000010495478,0.712135222736383,-0.568703014377918,1.14669329517644,0,0,0,1
156,"GRK2",0.055427333806858,0.262676816587998,0.832879768979461,0.916653677447791,-0.459409766279252,0.570264433892968,0,0,0,1
157,"GRK3",0.072153496909321,0.299923372243322,0.809885997176324,0.904996925238553,-0.51568551080939,0.659992504628032,0,0,0,1
158,"ADSL",0.415630608308211,0.217029484175837,0.0554812540015335,0.172800588519907,-0.00973936425973504,0.841000580876157,0,0,0,1
159,"ADSS2",-0.375857698501766,0.259322444090035,0.147230485053139,0.337488716418135,-0.884120349301136,0.132404952297604,0,0,0,1
160,"AP2A1",-0.210477713142927,0.312654809843155,0.500823122864901,0.705674382441997,-0.82326988002873,0.402314453742876,0,0,0,1
161,"AP2A2",-0.959163586994537,0.391468320505577,0.0142789134147606,0.0638549219141682,-1.72642739627385,-0.191899777715223,0,0,0,1
162,"AP1B1",-0.101987703905425,0.307657495832362,0.740268696696281,0.869422681134544,-0.704985315310636,0.501009907499786,0,0,0,1
163,"AP2B1",-0.433424139374106,0.249884245810679,0.0828294660446762,0.228569318600157,-0.923188261466991,0.0563399827187787,0,0,0,1
164,"AP1G1",-0.32221273567993,0.200247265586997,0.107600088450833,0.27492362944525,-0.714690164233071,0.0702646928732109,0,0,0,1
165,"AEBP1",0.526572758056188,0.417532583717682,0.20725348038008,0.418222359855329,-0.291776068402424,1.3449215845148,0,0,0,1
166,"TLE5",0.169186101462017,0.224557637580895,0.451197872688033,0.664936158864657,-0.270938780649935,0.609310983573969,0,0,0,1
175,"AGA",0.321971124232329,0.212718423712531,0.130126703026609,0.311323001484363,-0.0949493250923628,0.738891573557021,0,0,0,1
176,"ACAN",0.440402655181027,0.409926164655634,0.282667504246677,0.503806181602748,-0.363037863864652,1.24384317422671,0,0,0,1
178,"AGL",0.0153274627606626,0.196025613815311,0.937676023707579,0.970850536890094,-0.368875680364704,0.399530605886029,0,0,0,1
182,"JAG1",1.04093367606882,0.270928152426742,0.00012198497304458,0.00136152598639079,0.509924254914428,1.57194309722321,0,0,0,1
183,"AGT",-0.395602201510279,0.589476232315047,0.502151745863038,0.706385740053167,-1.55095438659014,0.759749983569579,0,0,0,1
185,"AGTR1",-1.54686775937253,0.538683136188896,0.00408434891301873,0.0241850137875413,-2.60266730538185,-0.491068213363209,0,0,0,1
187,"APLNR",0.725751980537172,0.547328670217102,0.184843229360385,0.390411309763737,-0.346992500794548,1.79849646186889,0,0,0,1
189,"AGXT",-5.19546316825274,0.611573575578747,1.97527491733481e-17,3.41443996287502e-15,-6.39412535028347,-3.99680098622201,0,0,0,1
191,"AHCY",-1.21739717346862,0.32689548535748,0.000195999687516595,0.00201422544724562,-1.85810055147802,-0.576693795459219,0,0,0,1
196,"AHR",0.788583602636413,0.277049410708938,0.00442215470385283,0.0257226099353418,0.245576735708849,1.33159046956398,0,0,0,1
199,"AIF1",0.0462651128486061,0.417887682921652,0.911844859475261,0.957955761282916,-0.772779695260726,0.865309920957938,0,0,0,1
202,"CRYBG1",-0.0166004438568648,0.26204774470307,0.949488654622651,0.976354324655489,-0.530204585704829,0.497003697991099,0,0,0,1
203,"AK1",0.0176833451046159,0.26665747353651,0.947127176346678,0.975339167393437,-0.504955699235386,0.540322389444618,0,0,0,1
204,"AK2",-0.123162725947171,0.150929827186057,0.414485027477037,0.633904449350373,-0.418979751424697,0.172654299530355,0,0,0,1
205,"AK4",-1.67006613033121,0.323206069661349,2.37643749957699e-07,6.24590775960946e-06,-2.3035383864522,-1.03659387421022,0,0,0,1
