"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0050954","sensory perception of mechanical stimulus",87,-0.573788801367977,-1.57302565755503,0.0144139909277835,0.13621453162944,0.0914707199662206,1351,"tags=23%, list=10%, signal=21%","84059/4715/153562/51473/4646/4036/3753/54532/113278/1285/7809/6387/525/4648/501/50617/83715/7020/1428/53405",0.380730400722792
"GO:0010986","positive regulation of lipoprotein particle clearance",6,0.854567718647979,1.57231658463543,0.0126081104379178,0.125550578276807,0.0843096668892617,374,"tags=33%, list=3%, signal=32%","302/54209",0.380730400722792
"GO:1902667","regulation of axon guidance",8,-0.852135685403998,-1.57178890864247,0.0268304012866541,0.191258644595877,0.128433917524606,814,"tags=38%, list=6%, signal=35%","9353/347733/5800",0.352487857583619
"GO:0035282","segmentation",32,-0.65859384872939,-1.57176617555725,0.0451388888888889,0.257848774430407,0.173150491048338,437,"tags=19%, list=3%, signal=18%","23242/153572/6926/7490/3234/2296",0.282013350011725
"GO:0031098","stress-activated protein kinase signaling cascade",42,0.555214455647952,1.57142376231402,0.0158168987941002,0.142813719065623,0.0959022032944595,2667,"tags=36%, list=20%, signal=29%","83605/355/4281/64170/3476/10550/5604/9344/51776/4609/5478/5603/23008/54910/7042",0.352487857583619
"GO:0045666","positive regulation of neuron differentiation",39,0.571840135021881,1.57140064614981,0.0301997869142107,0.201950338432003,0.13561359887835,1902,"tags=31%, list=14%, signal=27%","4131/4208/26508/1894/147040/6935/6925/1756/4803/8904/23531/9181",0.352487857583619
"GO:0006119","oxidative phosphorylation",121,-0.548487583115145,-1.57091197796481,0.00853873799808627,0.104004454952158,0.0698410240109225,2168,"tags=36%, list=16%, signal=31%","498/4719/1537/6622/84275/65018/4720/84300/4729/4707/23479/7386/4728/4709/4697/51103/4715/4704/6391/522/4723/515/4512/4722/1329/7385/7384/27069/4705/4536/7388/6390/4539/4538/205/4535/4540/4513/4541/6392/4508/4514/4537/4519",0.380730400722792
"GO:0015833","peptide transport",151,-0.532329369543725,-1.57061909871269,0.00588326451361872,0.0864545720276271,0.0580559346579243,1204,"tags=17%, list=9%, signal=16%","22841/84522/781/5019/84417/8622/5587/5950/9854/7849/51629/1497/3172/57393/6514/5071/846/65010/6565/18/5578/54097/1393/10411/7021/64849",0.407017918923954
"GO:0050850","positive regulation of calcium-mediated signaling",32,0.598355298597778,1.57045507220292,0.0400960872362657,0.239413848503483,0.160771078023251,1228,"tags=19%, list=9%, signal=17%","1012/64581/5788/54209/6351/1906",0.321775918075361
"GO:0032371","regulation of sterol transport",42,0.554803113367755,1.57025954004464,0.0158168987941002,0.142813719065623,0.0959022032944595,374,"tags=14%, list=3%, signal=14%","857/9619/341/302/19/54209",0.352487857583619
"GO:0032374","regulation of cholesterol transport",42,0.554803113367755,1.57025954004464,0.0158168987941002,0.142813719065623,0.0959022032944595,374,"tags=14%, list=3%, signal=14%","857/9619/341/302/19/54209",0.352487857583619
"GO:0090398","cellular senescence",70,0.510269190662742,1.56971574675587,0.0135674591113882,0.131166981343322,0.0880811913071719,659,"tags=14%, list=5%, signal=14%","1030/10783/567/6688/1026/4869/22846/5601/1029/1017",0.380730400722792
"GO:0002366","leukocyte activation involved in immune response",198,0.434965452135658,1.56910707814688,0.000643835450332314,0.0205287587077244,0.0137854626561923,1799,"tags=28%, list=13%, signal=24%","2214/121260/11314/5699/3958/3134/5696/6688/3936/3689/8291/301/8832/9111/7462/3071/54209/55619/7305/867/440275/9846/3394/84695/4067/5698/6810/942/5130/1794/5683/3956/2956/2896/3606/57102/3683/2242/11151/5880/2213/7494/4683/114548/114836/65992/202309/5682/7037/1524/7040/3716/1235/2207/84787",0.477270815362862
"GO:0071349","cellular response to interleukin-12",7,0.832019681689514,1.56904950061173,0.0236032839871456,0.178788792882012,0.120060168406251,1158,"tags=43%, list=9%, signal=39%","140885/5034/23236",0.352487857583619
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",20,0.671037912073554,1.56799346572296,0.0259042530707693,0.187314277980535,0.125785198259488,620,"tags=25%, list=5%, signal=24%","1520/567/54209/10437/1509",0.352487857583619
"GO:0045747","positive regulation of Notch signaling pathway",32,0.597245721524684,1.56754285441773,0.0400960872362657,0.239413848503483,0.160771078023251,1809,"tags=31%, list=13%, signal=27%","3714/55589/79651/182/4856/54567/55897/6091/4846/94",0.321775918075361
"GO:0010996","response to auditory stimulus",12,-0.7910357511271,-1.56752732608718,0.0284972198034603,0.195229205133729,0.131100226520586,893,"tags=33%, list=7%, signal=31%","5764/54532/64220/793",0.352487857583619
"GO:0031340","positive regulation of vesicle fusion",15,0.680733876782568,1.56745954325655,0.0399557065988163,0.239164606301265,0.160603707013637,1169,"tags=47%, list=9%, signal=43%","302/301/23208/8448/57586/21/143425",0.321775918075361
"GO:0048515","spermatid differentiation",99,-0.557042902268388,-1.56708107783285,0.0167518748054665,0.147627466426585,0.0991347287201646,2540,"tags=24%, list=19%, signal=20%","199223/51684/7802/57082/7283/5048/163589/257044/25981/80217/65975/8382/5727/6732/1124/55329/374864/79846/80127/284071/84217/65010/1672/3306",0.352487857583619
"GO:0002700","regulation of production of molecular mediator of immune response",102,0.484195159124686,1.56689305397127,0.00500834609799101,0.0777623364493528,0.0522189285988079,2811,"tags=43%, list=21%, signal=34%","121260/567/3133/3134/64581/5788/7043/441168/7805/2821/144811/6810/942/8140/3098/10865/3606/2590/7293/2213/7494/114548/11006/7037/7040/7186/84787/3077/7133/684/115352/11331/148022/975/6398/10459/3718/7042/23529/11213/112441434/79004/972/729230",0.407017918923954
"GO:0007610","behavior",233,-0.50565533911371,-1.56679428735589,0.00175695423460031,0.0391188522385631,0.0262690737596766,1128,"tags=16%, list=8%, signal=15%","5663/153/80823/6505/54806/5764/7782/4900/267/342371/4311/55902/5649/64220/6387/2628/2770/79846/7442/222236/5104/5465/5071/846/9099/5730/59272/112609/18/5578/27344/64084/6326/1272/1393/10411/793",0.45505986738723
"GO:0045682","regulation of epidermis development",32,-0.656270922965665,-1.56622240051168,0.046875,0.261548466593647,0.175634906637312,1299,"tags=22%, list=10%, signal=20%","3204/360/1594/81537/7421/2296/54845",0.276500599254472
"GO:1901654","response to ketone",149,-0.531438484836187,-1.56573307914321,0.00760703728930088,0.100015657414214,0.0671624685129833,827,"tags=15%, list=6%, signal=14%","2690/9353/56848/57630/2770/9131/25953/7832/6340/3029/5071/6337/358/5578/5105/5731/6559/6422/445/5106/2203/6338",0.407017918923954
"GO:0010257","NADH dehydrogenase complex assembly",38,-0.644087862485481,-1.56570905749655,0.0342420884058043,0.216192261707108,0.145177328680846,2880,"tags=50%, list=21%, signal=39%","374291/4700/29078/57226/4719/55471/55101/4720/4728/51103/617/80224/4722/25915/4536/4538/4535/4540/4541",0.321775918075361
"GO:0032981","mitochondrial respiratory chain complex I assembly",38,-0.644087862485481,-1.56570905749655,0.0342420884058043,0.216192261707108,0.145177328680846,2880,"tags=50%, list=21%, signal=39%","374291/4700/29078/57226/4719/55471/55101/4720/4728/51103/617/80224/4722/25915/4536/4538/4535/4540/4541",0.321775918075361
"GO:0032817","regulation of natural killer cell proliferation",5,0.884395076124714,1.56495045190902,0.016318811775203,0.146043580494925,0.0980711183639107,1116,"tags=80%, list=8%, signal=73%","2214/3133/26191/3606",0.352487857583619
"GO:0046541","saliva secretion",4,-0.974350748112085,-1.56459203724879,0.0021640480461702,0.0440147903646658,0.0295567918903896,174,"tags=50%, list=1%, signal=49%","358/83697",0.431707695803346
"GO:1904376","negative regulation of protein localization to cell periphery",30,-0.671655116864668,-1.56433946817243,0.0487080533521742,0.265589923565937,0.178348823974513,458,"tags=17%, list=3%, signal=16%","55022/127018/501/112609/65266",0.321775918075361
"GO:0035590","purinergic nucleotide receptor signaling pathway",19,0.661511166863449,1.56431263803344,0.0225012093587984,0.17588046357848,0.118107168442806,2051,"tags=47%, list=15%, signal=40%","5724/5028/5027/2771/53829/2857/286530/196527/5025",0.352487857583619
"GO:0070942","neutrophil mediated cytotoxicity",6,-0.891703977198062,-1.56373136640054,0.0176190707006182,0.151883987218057,0.101993065614838,100,"tags=33%, list=1%, signal=33%","1776/1610",0.352487857583619
"GO:0030193","regulation of blood coagulation",52,-0.61754136272377,-1.56360771818715,0.0220342972230376,0.173849126277873,0.116743085747971,852,"tags=19%, list=6%, signal=18%","84830/3273/4780/634/2160/350/7103/5624/5340/3827",0.352487857583619
"GO:1900046","regulation of hemostasis",52,-0.61754136272377,-1.56360771818715,0.0220342972230376,0.173849126277873,0.116743085747971,852,"tags=19%, list=6%, signal=18%","84830/3273/4780/634/2160/350/7103/5624/5340/3827",0.352487857583619
"GO:0002456","T cell mediated immunity",78,0.493078767348173,1.56341054605669,0.0148443369019145,0.137843621341948,0.0925646855447104,1850,"tags=35%, list=14%, signal=30%","567/3133/3134/11118/925/5551/5788/912/3071/182/10384/3140/23180/51571/10865/29126/7454/3606/2013/2213/5817/114548/11006/7186/7532/196/3077",0.380730400722792
"GO:0044819","mitotic G1/S transition checkpoint signaling",15,0.678961527235949,1.56337852671605,0.0399557065988163,0.239164606301265,0.160603707013637,2220,"tags=40%, list=16%, signal=33%","1026/595/1017/8525/51065/6118",0.321775918075361
"GO:0097237","cellular response to toxic substance",109,-0.54915804516022,-1.56319076169512,0.0117376780081705,0.11957378047145,0.0802961303611927,840,"tags=21%, list=6%, signal=20%","8934/10327/847/8802/4780/259/5743/10935/2643/25953/2878/132/3029/5071/5783/8803/10516/145226/55937/2168/217/2947/213",0.380730400722792
"GO:0071639","positive regulation of monocyte chemotactic protein-1 production",10,0.756363601767613,1.56288030971054,0.0305486116489247,0.202898010477265,0.136249979176657,576,"tags=30%, list=4%, signal=29%","4938/64581/4940",0.352487857583619
"GO:0019835","cytolysis",6,0.849312673774686,1.56264784332099,0.014868841952481,0.137853395893823,0.0925712493473134,1413,"tags=50%, list=10%, signal=45%","2634/115362/2635",0.380730400722792
"GO:0060675","ureteric bud morphogenesis",31,-0.653958403342873,-1.56263431179066,0.0457960119405043,0.258586895471935,0.17364615375248,1297,"tags=32%, list=10%, signal=29%","7481/5076/6299/7849/3975/9953/7490/2246/2625/6943",0.321775918075361
"GO:0039531","regulation of cytoplasmic pattern recognition receptor signaling pathway",108,0.471748070526403,1.56208459165286,0.00505899395337992,0.0777623364493528,0.0522189285988079,1080,"tags=18%, list=8%, signal=16%","2634/121260/4481/1956/330/23151/948/54209/5027/7128/115362/7099/1452/26191/338382/8473/4067/3428/11277",0.407017918923954
"GO:0045672","positive regulation of osteoclast differentiation",14,0.698998376766534,1.56145116727197,0.0329177072628661,0.211928021129383,0.14231380779884,520,"tags=21%, list=4%, signal=21%","23603/54209/7305",0.321775918075361
"GO:0048483","autonomic nervous system development",22,-0.699817331871598,-1.56138197718842,0.0448275862068966,0.256569183762549,0.172291220908428,151,"tags=14%, list=1%, signal=14%","7020/2625/7021",0.282013350011725
"GO:0031111","negative regulation of microtubule polymerization or depolymerization",28,0.602500729704139,1.56128123110526,0.0363249912984764,0.223813730453296,0.15029529388672,747,"tags=18%, list=6%, signal=17%","4131/1003/4133/22974/26586",0.321775918075361
"GO:0045906","negative regulation of vasoconstriction",10,0.755463031574286,1.56101945413873,0.0312631910034389,0.205783915697888,0.138187920930204,1164,"tags=40%, list=9%, signal=37%","133/9732/3688/3676",0.321775918075361
"GO:0006271","DNA strand elongation involved in DNA replication",15,0.677778735834912,1.56065502824995,0.0413700316076055,0.244887256585604,0.164446578514656,2602,"tags=53%, list=19%, signal=43%","5984/4176/54107/5111/5983/5422/3978/5425",0.321775918075361
"GO:0050921","positive regulation of chemotaxis",104,0.480342158031428,1.56045533446911,0.00388986411398187,0.0671229340586362,0.0450743619725637,1823,"tags=32%, list=14%, signal=28%","7422/7424/1012/3627/6688/6352/57118/3603/27347/4233/3071/54209/80310/7114/6351/6810/7423/728/102/5919/1906/5880/5228/8829/64065/9647/719/196527/1524/7040/1901/1235/811",0.431707695803346
