"Gene_Symbol","Gene_ID","log2FC","Regulation","Degree","Betweenness","Closeness","Eigenvector","PageRank"
"APOM","55937",-2.91110141582121,"Downregulated",8,0.000577875759167476,0.338541666666667,0.0983866643781482,0.00196991915400593
"RNF213","57674",1.02835000845592,"Upregulated",2,0.000131652275935167,0.251288659793814,0.00811251007394796,0.000813560514799129
"CTSS","1520",1.61402744292783,"Upregulated",19,0.00468636004810035,0.362116991643454,0.282332817069669,0.0041056052265905
"TMEM144","55314",1.13387207417065,"Upregulated",1,0,1,1.02875090232141e-17,0.00241954996370756
"CARMIL1","55604",-1.4052568449793,"Downregulated",2,0.0100154415507113,0.208667736757624,0.000198403716288786,0.00206541641659912
"B2M","567",1.34948291299554,"Upregulated",38,0.0256090722330836,0.408376963350785,0.492230053544377,0.00791890955066652
"MACROD1","28992",-1.70944904780438,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"TYRO3","7301",-1.97346399493642,"Downregulated",2,2.17336895440949e-05,0.304449648711944,0.0389163026381653,0.000789590873336516
"WT1","7490",-3.34767825682119,"Downregulated",18,0.0162617927961754,0.38160469667319,0.258325339817181,0.00456383105991711
"UBA5","79876",1.0358458405099,"Upregulated",2,0.000186777248152767,0.247148288973384,0.00459806445481807,0.000831192518638205
"MRAP2","112609",-3.03085912613569,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
"ALDOA","226",1.60632746085763,"Upregulated",28,0.00598247553648173,0.39039039039039,0.586653459847211,0.00533908634525738
"AQP1","358",-2.44888808007837,"Downregulated",14,0.00588668874883165,0.363466915191053,0.157432062451307,0.00334340019255889
"RHBG","57127",-6.29420059150545,"Downregulated",2,0,0.241187384044527,0.00362796469095923,0.000830612347255177
"TBXAS1","6916",1.55349338557759,"Upregulated",4,0.000104350298079592,0.266030013642565,0.00803501202476887,0.001495959038108
"TPMT","7172",-1.15855428028145,"Downregulated",3,0.00154147543562923,0.295678544351782,0.0347091247929213,0.00114397545112135
"ARL4D","379",-2.20234809549254,"Downregulated",0,0,NA,1.26011005946746e-19,0.000362932494557705
