"Gene_ID","Rank_Score"
"1050",3.16187209993357
"50509",3.15941209660602
"143888",3.15818875155629
"11309",3.15648369780083
"1452",3.1559321597592
"90861",3.15087513929061
"26191",3.14964218879857
"867",3.14746842746206
"11119",3.13299381743939
"85007",3.13289311755852
"10019",3.13269450835201
"4281",3.12427854727096
"10959",3.12393281685846
"9555",3.11204760134947
"9169",3.10932195149853
"5501",3.10745990175076
"64123",3.10293945332777
"2771",3.10183822484916
"7456",3.10065047839544
"2992",3.1003937863092
"399664",3.09600089724468
"117289",3.09434103019443
"5984",3.08945806283145
"2171",3.08830295523802
"3669",3.08653988389828
"4940",3.08637772905055
"3778",3.08236557817774
"1633",3.08182147484806
"56938",3.08035514843181
"6742",3.0772755308922
"5271",3.0745178243038
"6452",3.07407186456386
"440275",3.07350371984772
"10184",3.07203778501242
"80856",3.06801338501198
"5589",3.06680830460917
"5791",3.06676469083782
"55107",3.06304007769232
"72",3.05977678166857
"9636",3.0549817912547
"29896",3.05429377473363
"4664",3.05399556125226
"60559",3.05198513192363
"2313",3.05165181770303
"150223",3.05091576600786
"59345",3.04459697585238
"4171",3.03399700908506
"57520",3.02952566306234
"57608",3.02895104594784
"23642",3.02880596571729
"356",3.02707990768163
"10135",3.02356242129598
"83892",3.01049876856283
"22871",3.01002589282562
"157285",3.00075526512167
"127703",2.99921137919001
"8560",2.99591611322314
"22974",2.99317541902815
"11190",2.99310462402365
"57761",2.98806592308878
"55790",2.98289034807424
"200316",2.97853888199378
"3625",2.97075348074769
"6330",2.96842940629438
"6932",2.966583306941
"9935",2.96605067181902
"26353",2.96458246480899
"83666",2.95623237804552
"2232",2.9530474708689
"1509",2.95282366601386
"353322",2.94496015260491
"283849",2.94343461197275
"9846",2.94141889692209
"56253",2.93996695356156
"84465",2.93850798249118
"6404",2.93576216589165
"51187",2.93310894035707
"6039",2.93304896700105
"3635",2.93099228851174
"9404",2.92953326257415
"63910",2.92140680443121
"718",2.92102935983939
"6189",2.9094643056186
"64174",2.90216285210678
"80310",2.90103235947682
"5583",2.89831635494087
"147040",2.89007783246487
"64105",2.88928321668714
"285148",2.88922788664167
"1445",2.88887258460556
