"Gene_ID","Gene_Symbol","meta_log2FC","meta_SE","meta_pvalue","meta_padj","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue","Regulation"
8729,"GBF1",-0.110952455052459,0.321701642785106,0.730175256465073,0.86239235416086,-0.741476088678637,0.519571178573719,0,0,0.0289252100998134,0.864951837430868,"Not significant"
57584,"ARHGAP21",0.32885219917846,0.204049831243404,0.107043151062433,0.297242378642093,-0.0710781211100887,0.728782519467008,0,0,0.0217476202459871,0.882760470379703,"Not significant"
22849,"CPEB3",-0.644337701225145,0.285362008907121,0.0239477819912042,0.108826405321,-1.2036369612391,-0.0850384412111894,0,0,0.784993230560661,0.375618369393145,"Not significant"
79176,"FBXL15",-0.30539765960381,0.390050603575665,0.433645122876148,0.665421084500509,-1.06988279476022,0.459087475552603,0,0,0.0264827278780219,0.870726973007614,"Not significant"
79004,"CUEDC2",0.295476704532098,0.206496052954995,0.15245679163456,0.371243438975758,-0.109248122209369,0.700201531273564,0,0,0.56168638609973,0.453581568924969,"Not significant"
51684,"SUFU",-0.440645742934676,0.282839863378168,0.119248975516015,0.3185722086155,-0.995001688548114,0.113710202678763,0,0,0.447579074329705,0.50348686102095,"Not significant"
22852,"ANKRD26",0.233183040059703,0.372613370001626,0.531443327141695,0.736441608864172,-0.497125745301581,0.963491825420987,0.0380864529603489,6.03796365710732,1.0642596083707,0.302245673735949,"Not significant"
91452,"ACBD5",-0.592234591274894,0.236738297277983,0.0123618674681962,0.0685623443330682,-1.05623312770108,-0.12823605484871,0,0,0.969989447119525,0.324682810770167,"Not significant"
64077,"LHPP",-1.83031760022224,0.302404414275983,1.4257142042431e-09,9.37702664185839e-08,-2.4230193609691,-1.23761583947539,0,0,0.338556203403129,0.560663796534365,"Downregulated"
23185,"LARP4B",-0.05438282267728,0.182976347110252,0.766304424778842,0.882152580434199,-0.413009873036074,0.304244227681514,0,0,0.167444650326162,0.682392885137196,"Not significant"
23560,"GTPBP4",-0.194162149010638,0.236905102366954,0.41245686626134,0.647474202794464,-0.658487617403644,0.270163319382367,0,0,0.0273380281376906,0.868674680703351,"Not significant"
26098,"EDRF1",0.21951349543711,0.244713989189908,0.369707911685556,0.612680896417939,-0.260117109888234,0.699144100762453,0,0,0.203923841060476,0.651572103591036,"Not significant"
56647,"BCCIP",-0.164279978077095,0.271402982735741,0.544980286930157,0.746820734696546,-0.696220049535894,0.367660093381703,0,0,0.0104353197270072,0.918634905511113,"Not significant"
55149,"MTPAP",-0.291969112046682,0.188020157213313,0.120456418598951,0.320173995344839,-0.660481848552336,0.0765436244589708,0,0,0.0299739523297305,0.862549345590774,"Not significant"
9644,"SH3PXD2A",0.837152727744522,0.296516255808539,0.00475328803636204,0.0334995074618385,0.25599154552912,1.41831390995992,0,0,0.478558695723063,0.489075894534751,"Upregulated"
10531,"PITRM1",0.178105206402779,0.278364265907618,0.52228453235922,0.731011367732538,-0.367478729359084,0.723689142164641,0,0,0.0541700070926394,0.815959803913612,"Not significant"
79991,"STN1",0.160437294507816,0.33549699543585,0.632502280869294,0.8018078462731,-0.49712473346785,0.817999322483481,0,0,0.000300871532678951,0.986160868586753,"Not significant"
1326,"MAP3K8",0.432817235880883,0.297134670957436,0.145216719973009,0.361180047112356,-0.149556017753852,1.01519048951562,0,0,0.900551299686587,0.342633930456003,"Not significant"
253738,"EBF3",0.680476198450903,0.441189024555659,0.122983992193337,0.324690261747163,-0.184238400052546,1.54519079695435,0,0,0.0608180305504033,0.805207650459376,"Not significant"
