"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0051403","stress-activated MAPK cascade",40,0.579101102346144,1.60090908515323,0.0142312370646265,0.134148377767896,0.0872154953453839,2667,"tags=38%, list=20%, signal=30%","83605/355/4281/64170/3476/10550/5604/9344/51776/4609/5478/5603/23008/54910/7042",0.380730400722792
"GO:0034505","tooth mineralization",15,-0.774105879612576,-1.60041249274683,0.0172486158872307,0.150426356357778,0.0977984929899361,551,"tags=27%, list=4%, signal=26%","249/10117/79971/7020",0.352487857583619
"GO:0048545","response to steroid hormone",241,-0.518486036416317,-1.60013420113398,0.000871862829733218,0.0253703451147122,0.0164943270509866,1009,"tags=15%, list=7%, signal=14%","54600/3417/5245/3485/84830/2690/9353/2104/654/57630/678/55325/249/9131/210/6340/5465/5071/6752/6337/5730/4537/7421/358/5578/55885/5105/6559/6422/476/2103/445/3291/5106/6943/6338",0.477270815362862
"GO:0035590","purinergic nucleotide receptor signaling pathway",19,0.661511166863449,1.59990986029087,0.0238587307835433,0.183562329248256,0.119341580856377,2051,"tags=47%, list=15%, signal=40%","5724/5028/5027/2771/53829/2857/286530/196527/5025",0.352487857583619
"GO:0071385","cellular response to glucocorticoid stimulus",41,-0.649686385709185,-1.59973680368136,0.0195015087369425,0.16399122797675,0.106617585827511,2168,"tags=39%, list=16%, signal=33%","498/54578/54657/687/3158/11170/54658/8313/54600/678/6752/4537/358/5105/445/5106",0.352487857583619
"GO:0002029","desensitization of G protein-coupled receptor signaling pathway",10,0.771559751484271,1.59955935734204,0.0252252219930682,0.187766672611025,0.122075001081707,2125,"tags=50%, list=16%, signal=42%","133/8862/409/187/29978",0.352487857583619
"GO:0022401","negative adaptation of signaling pathway",10,0.771559751484271,1.59955935734204,0.0252252219930682,0.187766672611025,0.122075001081707,2125,"tags=50%, list=16%, signal=42%","133/8862/409/187/29978",0.352487857583619
"GO:0023058","adaptation of signaling pathway",10,0.771559751484271,1.59955935734204,0.0252252219930682,0.187766672611025,0.122075001081707,2125,"tags=50%, list=16%, signal=42%","133/8862/409/187/29978",0.352487857583619
"GO:0016339","calcium-dependent cell-cell adhesion",27,0.631310414392675,1.59949015887711,0.0195760572413633,0.164382949235334,0.106872260272131,3504,"tags=56%, list=26%, signal=41%","1012/1003/5098/22871/1004/56133/51294/56122/6402/56126/53827/56130/27032/56131/1009",0.352487857583619
"GO:0042311","vasodilation",29,-0.682773597404916,-1.59948154943099,0.0415288714556255,0.25454296810862,0.165489075750795,484,"tags=10%, list=4%, signal=10%","5997/846/3827",0.321775918075361
