GeneID,GSM1543544,GSM1543545,GSM1543546,GSM1543547
50865,2210,1076,1284,1153
9052,237,474,45,211
10046,140,33,269,55
923,213,26,151,40
10460,443,101,188,87
23376,289,302,946,393
23649,465,399,199,200
23144,397,201,516,210
823,2999,970,4455,1334
55,13,885,8,454
4190,4871,11599,2857,7915
10463,1286,2562,3045,2684
10903,919,522,1210,705
1355,946,974,1724,955
440193,293,359,629,442
10138,538,150,600,294
10771,859,379,3761,1395
7454,275,23,325,64
1800,216,58277,88,17822
637,2062,300,474,317
9782,3652,998,5380,3323
29881,52,35,196,98
64132,1930,604,1942,411
84220,248,214,1604,311
727851,248,214,1604,311
81551,3,5,2,8
23386,2904,2082,5102,1495
3670,1,0,0,0
55349,426,3203,2123,5225
53832,36,5,1,12
1179,0,0,0,0
22802,0,0,1,0
55830,1462,908,1238,1173
27032,1636,502,1425,1877
3479,151,70,44,58
92745,14994,58,45,50
10928,913,1007,2209,1618
22902,803,531,901,603
1272,34,119,0,314
6556,286,200,774,79
25937,2483,678,2450,1073
8540,623,259,1281,590
63932,507,179,615,335
477,59,35,27,205
55622,395,301,355,329
147948,83,114,58,100
23584,58,180,52,123
23187,3857,323,5088,963
8685,90,15,20,4
1591,7,103,7,50
56981,249,97,450,165
57586,6542,850,7222,898
6591,309,82,1048,333
972,249281,24642,55036,29372
3082,575,31,154,106
54764,117,16,597,369
23154,567,174,1023,388
25960,1119,17,1553,267
55734,297,105,449,175
4331,219,138,354,413
23034,434,1537,437,407
864,175,14,599,41
4361,386,145,399,216
58473,163,1088,20,287
1992,2672,850,1496,806
64816,4,4,11,6
11136,583,3079,32,4172
6683,242,112,270,145
9369,125,23,35,50
114879,608,107,646,300
9716,747,187,867,608
1373,70,49,27,106
732,3,1,0,2
2273,12954,271,10230,745
51507,4952,2383,3037,2821
2554,3,4,1,1
55655,21,35,8,12
57210,657,344,977,757
9921,3501,2311,2622,1862
55778,208,162,403,269
64429,1471,874,859,1523
57476,248,800,252,1600
6050,3939,2355,3526,2168
4719,415,657,3774,3272
9821,516,239,1066,592
23071,2066,952,926,1249
211,954,969,611,1073
330,1857,83,1394,214
11215,555,307,1199,655
51022,310,167,170,197
6617,179,68,586,87
51071,2962,1161,1288,1437
11171,4484,2432,1064,1906
1244,601,238,133,948
50619,602,51,246,104
51177,2003,492,533,282
2730,259,140,847,328
23304,624,302,1329,796
30846,3845,321,4964,464
55635,32,4,5,4
25901,707,918,463,1272
58528,815,1499,3301,1609
3298,102,55,256,108
51230,916,422,836,452
8630,62,8,19,21
10062,2337,3847,323,896
1890,3943,428,1610,327
29781,1632,1203,827,413
10953,1199,789,1121,1114
11231,1735,690,1213,1389
23633,889,429,1914,1150
7431,210942,4295,43773,5731
100533107,350,13,429,113
355,851,97,445,224
8635,36745,1572,3746,759
960,3509,346,3753,308
3755,49,3,16,20
56895,179,147,539,206
57823,411,17,128,42
11119,939,90,1452,490
4285,696,1899,295,732
5583,385,100,798,254
3645,63,65,6,122
3459,3128,469,1567,1051
11285,3923,1019,1082,569
9047,205,17,73,7
7444,186,56,442,126
7133,1428,151,1333,225
55591,681,282,1207,581
5452,133,26,208,30
65980,1227,526,1259,459
6642,1808,663,4318,2517
9519,323,292,124,192
56938,93,6,37,16
9774,1495,631,2343,1518
55334,1373,1187,1628,1226
286,31,2,57,26
3381,852,1,12,0
51106,281,128,222,196
9135,1294,879,1616,958
3149,538,701,329,504
23279,555,210,1015,517
578,1201,435,501,401
4593,0,4,8,0
22807,109,16,229,80
2896,27438,15275,8617,4488
51306,549,135,572,417
57514,712,194,676,344
55166,73,22,34,40
6301,4973,4203,4976,3495
8498,1617,422,2241,840
5926,253,319,735,351
7260,714,639,815,781
10908,2629,2268,1508,892
8100,324,602,220,717
56052,1342,1257,750,699
55596,495,125,621,278
10061,1893,634,1668,799
54480,2224,282,1029,447
57554,24,20,161,46
2530,468,100,1203,377
55236,419,252,4499,256
9846,531,82,1011,314
535,2075,4235,2559,1965
